transport,payload_bytes,relative_attn_perf,bandwidth_GBps
NVLink,4096,0.993401,1.1113
NVLink,16384,0.983883,6.53252
NVLink,65536,0.954558,20.0408
NVLink,262144,0.941737,14.3112
NVLink,1048576,0.989078,165.312
NVLink,4194304,0.990972,236.682
NVLink,16777216,0.984525,298.526
NVLink,67108864,0.956627,337.235
NVLink,268435456,0.884254,353.711
NVLink,1073741824,0.859989,361.024
NVLink,4294967296,0.849420,365.012
RDMA,4096,0.993894,0.488459
RDMA,16384,0.993491,0.417469
RDMA,65536,0.992760,0.751783
RDMA,262144,0.990437,3.22429
RDMA,1048576,0.989951,14.5908
RDMA,4194304,0.976744,37.5509
RDMA,16777216,0.960025,45.9593
RDMA,67108864,0.919375,47.9408
RDMA,268435456,0.904075,48.8201
RDMA,1073741824,0.899794,49.0838
RDMA,4294967296,0.899082,49.1684